标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
月付六号线地铁口 苹果园四区 精装次卧 春秋里 通景大厦,石景山-苹果园 苹果园南路,苹果园四区,3室1厅,10平米,中层(共20层),1300,合租,朝南,有,1/6/11号线/S1线
6号线延长线S1石厂地铁站 石门营精装主卧次卧 随时看房,门头沟-永定 石园南路,石门营新区(六区),3室1厅,16平米,中层(共16层),1300,合租,朝南,有,S1线
六号线通州北关万达广场附近精装修南北通透次卧仅需1300,通州-永顺 通惠河北沿河路,永顺南里2号院,3室1厅,15平米,高层(共6层),1300,合租,朝北,无,6号线
6号线杨庄站 西山奥园 实兴大街 海特花园 西山汇,石景山-苹果园 苹果园大街,西山奥园(D区),4室1厅,10平米,中层(共18层),1300,合租,朝南,有,1/6号线
友谊医院 通瑞嘉园 精装次卧温馨舒适 交通便利 环境优雅,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,14平米,低层(共27层),1200,合租,朝北,有,无
8通线1号线7号线瑞都公园世家电梯房主卧出租随时看房,通州-梨园 颐瑞中二路,瑞都公园世家(南区),3室1厅,23平米,中层(共21层),1599,合租,朝南,有,7号线/八通线
一号线 通州北苑地铁 科印小区 两居室 家具齐全 精装修,通州-通州北苑 北苑南路63号,科印小区,2室1厅,60.1平米,低层(共6层),3650,整租,南北,无,八通线
地铁十三号线龙泽地铁旁 精装南卧 包物业取暖 直达上地五道口,昌平-龙泽 同成街,龙泽苑西区,3室2厅,14平米,中层(共6层),1550,合租,朝南,无,13号线
金域华府主卧 租三个月 上地西二旗 金域国际中心 软件园二期,昌平-龙域 龙域中路5号,金域华府(一期),3室1厅,20平米,中层(共18层),2100,合租,朝南,有,13号线
首租！马驹桥 京东 百尚 商业街老干部家属楼 主卧带阳台,通州-马驹桥 兴华中街,神龙坚桥小区,3室1厅,15平米,中层(共6层),1300,合租,朝南,有,无
怡然世家高性价比主卧一间，包物业取暖，家电齐有空调，随时入住,通州-果园 怡乐南街,怡然世家,2室1厅,15平米,低层(共26层),1450,合租,朝南,有,无
北七家 桃园公寓 小区门口 公交直达 天通苑北 班车未来科技,昌平-北七家 定泗路,桃园公寓,3室1厅,18平米,共5层,1450,合租,朝东,无,无
学院路 清崋附小 农业大学 学清苑 精装大3居室1月底到期,海淀-学院路 学清路12号,学清苑,3室1厅,130平米,高层(共18层),15500,整租,南北,有,15号线
六号线通州北关万达广场附近精装修朝南主卧三家合租,通州-永顺 通惠河北沿河路,永顺南里2号院,3室1厅,18平米,高层(共6层),1500,合租,朝南,无,6号线
天露园 西二旗 回龙观 生命科学园 中关村软件园 华联购物,昌平-回龙观 龙禧二街,天露园(一区),3室1厅,15平米,中层(共6层),1600,合租,朝南,无,8号线
临近北控大厦 火炬街 花雨汀 精装主卧 南北通透 无中介费,昌平-昌平县城 白浮泉路,拓然家苑,4室1厅,13平米,高层(共6层),1500,合租,朝南,无,无
六号线通州北关无中介 可短期住 月付款 焦王庄 富力蕙兰美居,通州-潞苑 朝阳北路,富力惠兰美居(F区),3室1厅,15平米,高层(共18层),1300,合租,朝北,有,无
石榴庄地铁对面 慧时欣园 大主卧 真实图片 可短签 月付,丰台-石榴庄 光彩路,慧时欣园,3室1厅,18平米,低层(共18层),2000,合租,朝南,有,5/8/10号线/亦庄线/8号线南段
兴政西里 可月付 紧邻大兴医院 物美超市 星城商厦 随时看到,大兴-黄村 兴华大街,兴政西里,3室1厅,15平米,高层(共6层),1400,合租,朝北,无,4号线大兴线
6号线北关 北通公寓 福源超市 工业大学通州校区友谊医院对面,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,90.3平米,高层(共28层),4500,整租,南北,有,无
北七家 桃园公寓 小区门口 公交直达 天通苑北 班车未来科技,昌平-北七家 定泗路,桃园公寓,3室1厅,18平米,共5层,1450,合租,朝东,无,无
一号线 通州北苑地铁 科印小区 两居室 家具齐全 精装修,通州-通州北苑 北苑南路63号,科印小区,2室1厅,60.1平米,低层(共6层),3650,整租,南北,无,八通线
建明里 政府街 昌平地铁站 朝南次卧 西关 包物业取暖,昌平-昌平县城 政府街,建明里,3室1厅,15平米,中层(共6层),1400,合租,朝南,无,昌平线
小圆地铁站，紫金新园次卧，栗园庄，石门营，上岸桥户营次卧主卧,门头沟-永定 龙林路,紫金新园(三区),3室1厅,18平米,低层(共28层),1300,合租,朝南,有,S1线
通州二院家属楼 一层三家合租 朝南主卧 带套间 随时看房,通州-马驹桥 马桥西路,通州第二医院宿舍楼,3室1厅,20平米,低层(共6层),1650,合租,朝南,无,无
万达广场，保利，北关附近通惠北路三居室家具家电齐全,通州-北关 通惠北路12号,光荣院家属院,3室1厅,91.4平米,高层(共6层),4500,整租,南北,无,八通线
押一付一 回龙观育知路地铁附近北店嘉园三家合住次卧出租,昌平-回龙观 龙禧二街,龙禧苑北店嘉园(北区),3室1厅,12平米,共5层,1700,合租,朝北,无,8/13号线
京东总部附近东惠家园精美大主卧，紧邻地铁交通方便,通州-次渠 水南西三路1号,东惠家园二期,3室1厅,20平米,高层(共27层),1700,合租,朝南,有,亦庄线
六号线金安桥地铁金隅大厦喜隆多金顶街二区正规主卧出租特价甩租,石景山-金顶街 金顶街,金顶街(二区),4室1厅,18平米,高层(共18层),1999,合租,朝南,有,1/6/11号线/S1线
兴政西里 可月付 精装修卧室家电齐全  紧邻大兴医院随时看房,大兴-黄村 兴华大街,兴政西里,3室1厅,15平米,高层(共6层),1500,合租,朝北,无,4号线大兴线
西红门地铁 瑞海二区 次卧 紧邻鸿坤 荟聚 嘉悦广场兴创国际,大兴-西红门 宏业路,瑞海二区(瑞海家园二区),3室2厅,15平米,高层(共6层),1777,合租,朝南,无,4号线大兴线
年底甩租 马家堡  洋桥 主次卧 火爆出租,丰台-西罗园 马家堡路,洋桥北里,3室1厅,15平米,高层(共6层),1600,合租,朝南,无,8/14号线/4号线大兴线
西二旗 智学苑3居双卫 室友全女生 南向次卧2600元能谈,海淀-西二旗 西二旗西路29号,智学苑,4室1厅,16平米,高层(共24层),2600,合租,朝北,有,13号线/昌平线
石门苑社区 南向大主卧带阳台出租 看房随时 先到先得 拎包住,"顺义-石门 西环路,近顺于路",前进花园石门苑,4室1厅,17平米,中层(共6层),1300,合租,朝南,无,15号线
国贸，双井，广渠门外大街，富力城，双花园，CBD总部公寓次卧,朝阳-双井 光华北一街,CBD总部公寓二期,4室2厅,20平米,低层(共22层),2530,合租,朝北,有,1/7/10号线
可短签押一付一无中介费常营草房地铁友谊医院通瑞嘉苑主卧带阳台,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,17平米,中层(共28层),1600,合租,朝南,有,无
马驹桥 神龙潼关 三家两卫 精装次卧 随时看房入住,通州-马驹桥 漷马路,神龙潼关一区,3室1厅,16平米,高层(共10层),1500,合租,朝北,有,无
真实照片 一号线地铁 老山东里17号楼 3居次卧 石景山万达,石景山-老山 石景山路,老山东里(南区),3室1厅,13平米,中层(共6层),1600,合租,朝北,无,1号线
公交979直达八宝山 慈寿寺 六合园 玉泉路 梧桐苑精装主卧,门头沟-永定 龙兴南一路,中铁西城北区,3室1厅,16平米,低层(共21层),1320,合租,朝南,有,11号线
珠江逸景家园(南区) 2室2厅1卫 配套齐全 91平,通州-马驹桥 景盛北一街16号,珠江逸景家园(南区),2室2厅,91.6平米,中层(共14层),3800,整租,朝南,有,无
一号线八角游乐园地铁 实景图八角北里主卧 双向窗户 融科畅游,石景山-八角 八角北路,八角北里,3室0厅,15平米,共5层,2000,合租,西南,无,1号线
昌平地铁站 教育局宿舍楼小区 步行地铁站100米 低楼层,昌平-昌平县城 政府街,昌平区教育局宿舍楼,3室1厅,13平米,低层(共6层),1300,合租,朝南,无,昌平线
北关地铁站附近，整租一居龙旺庄市场交界处，武夷花园商圈华联旁,通州-武夷花园 东六环,孙各庄新村,1室1厅,55平米,高层(共27层),3000,整租,朝南,有,无
紧邻地铁15号线顺义站双兴南区主卧带阳台 低楼层随时看,顺义-顺义城区 顺沙路,双兴南区,4室1厅,20平米,低层(共6层),1850,合租,朝南,无,15号线
新房源 年底便宜甩 杨庄地铁 华信大厦对面 杨庄中区卧室甩租,石景山-杨庄 杨庄路,杨庄中区,3室1厅,10平米,低层(共20层),1400,合租,朝南,有,6号线
押一付一 免租一月 紫金新园主卧次卧合租 小园地铁站交通便利,门头沟-永定 龙林路,紫金新园(二区),2室1厅,16平米,中层(共26层),1400,合租,朝南,有,S1线
A独卫！独卫！独卫!电梯房！百尚 潼关三区 主卧独卫带飘窗,通州-马驹桥 漷马路,神龙潼关三区,3室1厅,28平米,高层(共10层),1900,合租,朝南,有,无
可短签可月付6号线地铁北关胸科医院家和园精装主卧甩租无中介费,通州-永顺 永顺北街,家和园(通州),3室1厅,18平米,高层(共22层),1350,合租,朝南,有,6号线
三个月起租特惠甩租 古城地铁 汽车园 中海大厦 现代嘉园主卧,石景山-古城 古城西路68号,古城现代嘉园(西区),3室1厅,10平米,中层(共20层),1388,合租,朝南,有,1/11号线
东卫城 杨闸环岛 两户用一卫生间 正规卧室 管庄地铁 免中介,朝阳-管庄 朝阳路,东卫城,3室1厅,12.3平米,中层(共28层),1600,合租,朝东,有,无
6号线物资学院 北关地铁 耿庄桥北 华龙 珠江丽景 通瑞主卧,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,18平米,中层(共28层),1600,合租,朝南,有,无
无佣金 新华街五里 3室 精装修 电梯房 12平 次卧,丰台-看丹桥 新华街11号,新华街五里,3室1厅,12平米,中层(共24层),1700,合租,西南,有,9/10号线
马驹桥 合生世界村 精装修次卧独卫 三家合租,通州-通州周边 环景路18号,合生世界村(H区),3室1厅,18平米,中层(共17层),1350,合租,朝南,有,无
望都新地 无任何杂费 直达未来科学城 天通苑北5号线,昌平-北七家 立汤路60号,望都新地(北区),3室1厅,15平米,中层(共12层),1300,合租,朝南,有,无
朗芳园双地铁六号线一号线丨精装一居室 免佣金 全新家具家电,通州-土桥 梨园南街,朗芳园,1室1厅,60平米,中层(共27层),3300,整租,朝南,有,无
梨园地铁附近，新通国际花园，电梯房，精装修，可月付,通州-梨园 梨园北街,新通国际花园(北区),3室1厅,16平米,中层(共29层),1800,合租,朝北,有,八通线
免中介费 年前低价出租各种单间 主卧次卧厅卧带阳台 不临街,朝阳-朝阳周边 金港南路,京旺家园七区,3室2厅,16平米,低层(共11层),1650,合租,朝南,有,无
小园地铁紫金新园二区2室1厅1卫 正规次卧1400元月,门头沟-永定 龙林路,紫金新园(二区),2室1厅,19平米,低层(共21层),1400,合租,朝南,有,S1线
九棵树 高档别墅区 龙湖蔚澜香醍 大户型四居双卫  随时看房,通州-九棵树 怡乐中街,龙湖蔚澜香醍,4室2厅,149平米,中层(共10层),8700,整租,南北,有,八通线
环球影城双地铁八通线迪卡侬朗芳园精装次卧无中介费可月付可短住,通州-土桥 梨园南街,朗芳园,3室1厅,18平米,中层(共28层),1500,合租,朝南,有,无
尖子班，天翼智谷，，门口就是E花园，燕京啤酒，梧桐苑,通州-马驹桥 东渠路,东居时代小区,3室1厅,25平米,中层(共6层),1500,合租,朝南,无,17号线
望京酒仙桥草场地it大山子恒通国际创新园附近金盏京旺家园单间,朝阳-朝阳周边 金港南路,京旺家园三区,2室1厅,15平米,低层(共11层),1700,合租,朝南,有,无
果园地铁附近，世纪星城，高档小区，电梯房，可月付,通州-果园 通朝大街323号,世纪星城,3室2厅,15平米,中层(共21层),1600,合租,朝北,有,八通线
月付月租六里桥地铁边上莲怡园莲香园银座商场实惠单间随时入住,丰台-六里桥 莲宝路,莲香园,4室1厅,10平米,高层(共28层),1600,合租,朝南,有,9/10号线
马驹桥 合生世界村 精装主卧独卫 临近 康龙化成 生物制药,通州-通州周边 环景路18号,合生世界村(H区),4室2厅,20平米,高层(共17层),1500,合租,朝南,有,无
七号线永丰里B区 2室2厅1卫 南北通透 电梯房 豪华装修,通州-梨园 曹园南街,永丰里B区,2室2厅,90平米,高层(共15层),4200,整租,南北,有,无
五道口清崋大学旁，西王庄清华园温馨单间随时看紧邻地铁着急出租,海淀-清华大学 圆明园东路,清华大学西北小区,2室1厅,17平米,高层(共6层),3100,合租,朝南,无,无
我爱我家相寓  芍药居4号院三家两卫精装次卧室出租,朝阳-芍药居 育慧南路,芍药居5号院,3室1厅,10平米,中层(共6层),2050,合租,朝北,有,5/10/13号线
艺苑东里 配套齐全 南北通透 临地铁 主卧带阳台 可月付,通州-运河大街 艺苑东街,艺苑东里,3室1厅,16平米,高层(共6层),1350,合租,朝南,无,八通线
通州北关地铁保利朝南临河正规两居室家电家具齐全包物业供暖费,通州-北关 新华北路,保利大都汇,2室1厅,55.5平米,低层(共18层),6199,整租,朝南,有,6号线
16号线农大南路站，马连洼肖家河，圆明园花园别墅单间，软件园,海淀-马连洼 圆明园西路88号,圆明园花园,5室2厅,10平米,共5层,2000,合租,朝北,无,16号线
四号线十九号线新宫地铁站旁 南庭新苑 精装修主卧 可月付,丰台-新宫 槐房西路316号,南庭新苑北区,3室1厅,20平米,中层(共16层),1750,合租,朝南,有,19号线/4号线大兴线
梨园城铁旁 金侨时代 实墙次卧 适合打工族 订房优惠先到先得,通州-梨园 云景南大街,金侨时代家园,3室1厅,12平米,中层(共6层),1000,合租,朝东,无,八通线
1号线八角游乐园 融科创意中心 畅游大厦 八角南里温馨次卧,石景山-八角 八角南路,八角南里,3室1厅,18平米,高层(共6层),1750,合租,朝南,无,1号线
通州北关 永顺 北关 南北通透两居室 3700,通州-北关 永顺南街190号,永顺南街190号院,2室1厅,83.1平米,高层(共6层),3700,整租,南北,无,6号线
免中介费！精装修次卧 干净整洁 近望京酒仙桥大山子798蟹岛,朝阳-朝阳周边 金港南路,京旺家园七区,3室1厅,15平米,中层(共11层),1600,合租,朝北,有,无
六道口 静淑苑 农大家属楼 768 圣熙八号 精装次卧 真实,海淀-学院路 学清路37号,静淑东里,3室1厅,18平米,中层(共6层),2300,合租,朝南,无,15号线
丽泽商务区 万润风景 精装次卧 家电齐全 随时入住,丰台-菜户营 万泉寺256号,万润风景,4室1厅,18平米,中层(共11层),1950,合租,朝南,有,14号线/房山线
年底特价！限女士！永定门外 木樨园 富莱花园 温馨卧室出租！,东城-永定门 沙子口路,富莱茵花园,4室1厅,15平米,中层(共26层),1800,合租,朝南,有,5/8/14号线/8号线南段
6号线S1号线金安桥地铁站 金顶街 喜隆多 首钢园,石景山-古城 广宁路,首钢铸造一区,3室1厅,18平米,中层(共12层),1800,合租,朝南,有,6/11号线/S1线
六号线西黄村地铁  精装卧室 附近超市 随时看房 随时入账住,石景山-苹果园 田村路,叠翠庭苑(二区),3室1厅,12平米,高层(共20层),1700,合租,朝南,有,6号线
低价出租各种单间 年前租免中介费 京旺家园 精装入住 有网,朝阳-朝阳周边 金港南路,京旺家园七区,3室2厅,10平米,低层(共12层),1400,合租,朝南,有,无
我爱我家相寓 天通苑东一区高楼层精装次卧 房子装修好 随时看,昌平-天通苑 太平庄东路,天通东苑一区,3室2厅,15平米,高层(共6层),1600,合租,朝北,无,5号线
五道口 清崋科技园 华清嘉园 精装3居室 带电梯 业主急租,"海淀-五道口 成府路,近中关村东路",华清嘉园,3室1厅,90平米,高层(共18层),10500,整租,西北,有,13/15号线/4号线大兴线
通州北关保利大都汇一居复试朝南临河智能锁高层包物业供暖费用,通州-北关 新华北路,保利大都汇,1室1厅,52.1平米,高层(共18层),5299,整租,东南,有,6号线
次卧，无中介费，押一付一，价格可聊，可段租可长租，随时看房,朝阳-垡头 武基街,垡头翠成馨园(D区),3室1厅,10平米,低层(共28层),1350,合租,朝东,有,7号线
良庄家园  15平大次卧带飘窗 精装修 配套齐全,昌平-回龙观 文华东路30号,良庄家园,3室1厅,15平米,高层(共6层),1600,合租,朝北,有,8号线
图片，中湾国际，家具家电全配，随时,海淀-中关村 彩和坊西小街1号,中湾国际,1室0厅,58平米,高层(共19层),6800,整租,朝北,无,10/16号线/4号线大兴线
4号线西红门 三家合住 正规次卧 南北通透 精装修 13平,大兴-西红门 宏福路,兴海家园星苑,3室1厅,13平米,低层(共6层),1600,合租,朝北,无,4号线大兴线
紫金新园(三区) 3室1厅1卫朝南大主卧1600元月,门头沟-永定 龙林路,紫金新园(三区),3室1厅,20平米,低层(共29层),1600,合租,朝南,有,S1线
s1地铁桥户营次卧，小圆，栗园庄，上岸，直达金安桥，苹果园,门头沟-城子街道 龙石东路,迎晖南苑,3室1厅,17平米,中层(共27层),1400,合租,朝南,有,S1线
实图 田村地铁6号线 京粮广场 海澜中苑精装小卧室出租,海淀-四季青 田村北路144号,海澜中苑,3室1厅,12平米,高层(共6层),1500,合租,朝北,无,无
合生世界村 临近康龙化成 联东U谷 月付 无佣金,通州-通州周边 环景路18号,合生世界村(H区),4室2厅,20平米,中层(共17层),1500,合租,朝南,有,无
年底清房！现在租房首月减一千仅需四千即可！精装顶层复式两居室,通州-北关 滨榆东路,朝北8080,2室1厅,100平米,高层(共7层),4000,整租,西北,有,无
枣园小区 次卧带阳台出租可月付 紧邻枣园地铁,大兴-枣园 兴华大街,枣园小区,3室1厅,15平米,高层(共6层),1700,合租,朝北,无,4号线大兴线
（业主降价租）高层观景！精装正南向两居！有车位 随时入住,海淀-清河 毛纺路,橡林郡,2室2厅,87.2平米,中层(共18层),10000,整租,朝南,有,无
回龙观地铁口 温馨落地窗大次卧 配套齐全 直达西二旗 知春路,昌平-回龙观 昌平路,新龙城,3室2厅,15平米,中层(共10层),1600,合租,朝北,有,13号线
6号线东夏园地铁站口，副中心市政府旁，本地中介,通州-通州周边 后北营街,后北营家园(三区),2室1厅,89平米,中层(共27层),3800,整租,南北,有,6号线
海户屯地铁站，珠江骏景小区，包供暖包物业，民水民电，随时看房,丰台-木樨园 永外果园43号,珠江骏景北区,3室1厅,10平米,中层(共15层),1400,合租,朝南,有,8/10/14号线/8号线南段
妇幼保健院旁玉桥旁光明小区两居可当宿舍可养宠物,通州-玉桥 玉桥中路,玉桥南里(北区),2室1厅,70平米,中层(共6层),3700,整租,南北,无,无
6号线 鑫隆市场 乔庄建材城 次卧 出租 可月付  无中介费,通州-乔庄 玉桥中路10号,玉桥北里,2室1厅,15平米,低层(共6层),1500,合租,朝北,无,无
合生世界村 朝南主卧独卫 可押一付一 包物业取暖 房源多,通州-通州周边 环景路18号,合生世界村(H区),4室2厅,20平米,高层(共15层),1600,合租,朝南,有,无
实景图 石景山八角西街 八角北路 主卧阳台朝南  融科畅游,石景山-八角 八角北路44号,八角北路社区,3室1厅,24平米,低层(共6层),2200,合租,朝南,无,1号线
五道口 清崋大学附近 西王庄 精装2居室 低楼层 急租,海淀-五道口 清华东路,西王庄小区,2室1厅,57平米,中层(共6层),8300,整租,南北,无,13/15号线
北运河西地铁站 运河商务区 万达广场 地铁北关站 包物业取暖,通州-武夷花园 通胡大街70号,K2百合湾,2室1厅,10平米,低层(共20层),1200,合租,朝北,有,无
梧桐苑公园，燕京啤酒公园，，尖子班，贞观国际，亦城国际,通州-马驹桥 东渠路,东居时代小区,2室1厅,18平米,中层(共6层),1484,合租,朝南,无,17号线
科技园 看丹桥  韩韩庄西里单间,丰台-看丹桥 丰台南路,韩庄子西里,3室1厅,18平米,中层(共6层),1980,合租,朝北,无,9号线
房地远洋悦山水 1室1厅1卫 配套齐全 精装修 电梯房,通州-北关 安顺路2号,房地远洋悦山水,1室1厅,65平米,中层(共20层),3600,整租,朝南,有,无
10号线大红门地铁口主卧朝南带阳台密码锁随时看房,丰台-大红门 春泽路,建欣苑二里,2室1厅,25平米,中层(共6层),2400,合租,朝南,无,8/10号线/8号线南段
小红门65号院 主卧朝南 集中供暖 家具家电齐全  随时入住,朝阳-十八里店 小红门路,小红门65号院,3室1厅,17平米,中层(共21层),1799,合租,朝南,有,10号线
万达广场，通州北关，八里桥市场附近三居室低楼层价格便宜,通州-新华大街 金海街36号,金海街36号院,3室1厅,99平米,低层(共6层),4500,整租,南北,无,无
中关村八一~视野开拓~周边配套齐全~临近81~全套全配,海淀-万泉河 芙蓉里1号,芙蓉里小区,3室1厅,104平米,中层(共17层),11000,整租,西北,无,10/16号线/4号线大兴线
京旺家园金盏嘉园精装2居出租 可短签酒仙桥电子城大山子798,朝阳-朝阳周边 金港南路,京旺家园四区,2室1厅,89平米,中层(共11层),4800,整租,南北,有,无
看房随时 价格便宜 紧邻地铁 精美装修 舒适宜居,通州-北关 新华北路,世界侨商中心,1室1厅,42.5平米,高层(共27层),3599,整租,朝北,有,6号线
